               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.041666,            0.019579,           0.0021798,             0.63213,             0.49472,             0.48318,             0.15222,            0.058238,            0.031305,            0.014459,           0.0034825,           0.0034825,           0.0034825
                  81,            0.040974,            0.020253,           0.0022307,             0.57318,             0.58661,             0.50896,             0.17491,            0.056573,            0.030613,            0.014149,              0.0034,              0.0034,              0.0034
                  82,            0.041009,            0.021891,           0.0027272,             0.55665,               0.575,              0.4951,             0.14852,            0.056064,            0.030165,            0.014971,           0.0033175,           0.0033175,           0.0033175
                  83,            0.040273,            0.020135,           0.0023444,             0.62129,             0.47021,             0.46694,             0.15784,            0.056873,            0.030771,            0.016526,            0.003235,            0.003235,            0.003235
                  84,            0.040072,            0.019769,           0.0016651,             0.55221,             0.46696,             0.44137,             0.14669,            0.058135,            0.031322,            0.017158,           0.0031525,           0.0031525,           0.0031525
                  85,            0.039066,            0.018613,           0.0023465,             0.52949,             0.43973,             0.43131,             0.16249,            0.057932,            0.031565,            0.017324,             0.00307,             0.00307,             0.00307
                  86,            0.039976,            0.021828,           0.0027449,             0.60783,             0.48953,             0.47795,             0.15177,            0.058212,            0.031594,            0.016932,           0.0029875,           0.0029875,           0.0029875
                  87,            0.038785,            0.020438,           0.0019069,             0.61319,             0.52812,              0.5161,             0.15278,            0.058967,            0.031459,            0.013845,            0.002905,            0.002905,            0.002905
                  88,            0.039173,            0.018906,            0.001936,             0.53447,             0.58146,             0.50414,             0.17004,            0.056753,            0.031052,             0.01422,           0.0028225,           0.0028225,           0.0028225
                  89,            0.038753,             0.02014,            0.001851,             0.61485,              0.5109,             0.49391,             0.16327,            0.057876,            0.031885,            0.014763,             0.00274,             0.00274,             0.00274
                  90,            0.040122,            0.020152,           0.0019518,              0.5756,             0.48413,             0.44611,             0.14009,            0.059812,            0.031427,            0.014886,           0.0026575,           0.0026575,           0.0026575
                  91,            0.040022,            0.019497,           0.0018218,             0.54808,             0.58391,             0.52411,             0.17659,            0.057138,            0.031996,            0.014167,            0.002575,            0.002575,            0.002575
                  92,            0.038553,            0.021925,           0.0017604,             0.59234,             0.55804,             0.52943,             0.16288,            0.059247,            0.031949,            0.014248,           0.0024925,           0.0024925,           0.0024925
                  93,            0.037858,             0.02012,           0.0019665,             0.61836,             0.53973,             0.51042,             0.17122,            0.057811,            0.031994,            0.014322,             0.00241,             0.00241,             0.00241
                  94,             0.03931,            0.020692,           0.0018711,             0.63623,             0.53666,             0.54103,             0.15647,            0.059254,            0.032103,            0.013853,           0.0023275,           0.0023275,           0.0023275
                  95,            0.038567,            0.020284,            0.001708,             0.58099,             0.60223,             0.51477,             0.16138,            0.057873,            0.032233,             0.01383,            0.002245,            0.002245,            0.002245
                  96,            0.038253,            0.019158,           0.0029177,             0.58985,             0.59604,             0.53665,             0.16802,            0.059305,            0.032143,            0.014735,           0.0021625,           0.0021625,           0.0021625
                  97,            0.037807,            0.019291,           0.0019364,              0.6466,             0.62985,              0.5753,             0.17055,            0.058081,            0.031857,            0.014736,             0.00208,             0.00208,             0.00208
                  98,             0.03721,            0.020333,           0.0018237,             0.60596,             0.60388,             0.55177,             0.16521,            0.058565,            0.031531,            0.015243,           0.0019975,           0.0019975,           0.0019975
                  99,            0.036906,            0.021036,           0.0011844,             0.66439,             0.61652,              0.5825,              0.1702,            0.058147,            0.031594,            0.015539,            0.001915,            0.001915,            0.001915
                 100,            0.036856,            0.018516,           0.0013701,             0.60677,             0.60223,             0.55369,             0.17763,            0.058013,            0.032084,            0.015647,           0.0018325,           0.0018325,           0.0018325
                 101,            0.037117,            0.019962,           0.0014766,             0.59726,             0.58795,             0.53653,             0.17337,            0.057478,            0.031992,             0.01547,             0.00175,             0.00175,             0.00175
                 102,            0.036578,            0.021051,           0.0020238,             0.60584,             0.60223,             0.55721,             0.17396,            0.057236,            0.031542,            0.015448,           0.0016675,           0.0016675,           0.0016675
                 103,            0.035766,            0.020197,           0.0010129,             0.64384,             0.60089,             0.55801,             0.18342,             0.05719,            0.031197,            0.015042,            0.001585,            0.001585,            0.001585
                 104,            0.035203,            0.020656,           0.0015563,             0.67576,             0.58527,             0.55491,             0.18981,            0.057617,            0.031208,            0.014487,           0.0015025,           0.0015025,           0.0015025
                 105,            0.035045,            0.020102,          0.00099559,              0.6253,             0.59861,             0.53025,             0.17981,            0.058319,            0.031261,            0.014339,             0.00142,             0.00142,             0.00142
                 106,            0.033925,            0.019055,           0.0017047,             0.56542,             0.58795,             0.54247,             0.18594,              0.0581,            0.031225,            0.014166,           0.0013375,           0.0013375,           0.0013375
                 107,            0.034495,            0.018409,          0.00094384,             0.59033,             0.60089,             0.54959,             0.19493,            0.057798,            0.031462,            0.014237,            0.001255,            0.001255,            0.001255
                 108,            0.033219,            0.017387,           0.0012637,             0.68924,              0.5125,             0.53761,             0.17953,            0.058015,            0.031912,            0.014631,           0.0011725,           0.0011725,           0.0011725
                 109,            0.034248,            0.018923,           0.0015009,             0.68341,             0.51907,             0.54252,             0.17476,            0.058184,            0.032384,            0.015019,             0.00109,             0.00109,             0.00109
                 110,            0.034815,             0.01874,           0.0012652,             0.62991,             0.46696,             0.50044,             0.17784,            0.058178,            0.033025,            0.015044,           0.0010075,           0.0010075,           0.0010075
                 111,            0.035075,            0.017304,           0.0017745,             0.56832,              0.5125,             0.49857,             0.16712,            0.058875,            0.033531,            0.015186,            0.000925,            0.000925,            0.000925
                 112,            0.033438,            0.017686,           0.0013595,             0.58228,             0.54107,             0.49671,             0.16177,            0.059331,            0.033608,            0.015366,           0.0008425,           0.0008425,           0.0008425
                 113,            0.034046,            0.018953,           0.0012589,             0.58814,             0.53831,             0.50924,             0.16943,             0.05849,            0.033231,            0.015501,             0.00076,             0.00076,             0.00076
                 114,            0.034423,            0.019058,           0.0014976,             0.60005,             0.53973,             0.51244,             0.17031,            0.058272,            0.032652,            0.015344,           0.0006775,           0.0006775,           0.0006775
                 115,            0.034364,            0.016962,           0.0011263,             0.60345,              0.5466,              0.4955,             0.17284,            0.058209,            0.032508,             0.01522,            0.000595,            0.000595,            0.000595
                 116,            0.032653,            0.019135,           0.0011885,             0.57657,             0.51749,             0.48132,             0.17875,            0.058389,            0.032694,            0.015126,           0.0005125,           0.0005125,           0.0005125
                 117,            0.034487,            0.018801,           0.0014197,              0.5634,             0.50126,             0.48884,             0.18166,            0.058567,            0.032639,            0.015167,             0.00043,             0.00043,             0.00043
                 118,            0.033954,             0.02004,           0.0010656,             0.53482,             0.50068,             0.48434,             0.18127,             0.05852,            0.032881,            0.015088,           0.0003475,           0.0003475,           0.0003475
                 119,            0.033101,            0.020644,           0.0014123,             0.53178,             0.53558,             0.49347,             0.17573,            0.058512,            0.033058,            0.015126,            0.000265,            0.000265,            0.000265
